AnimalID,Virus,Session,Stim,Resp
4777,eYFP,Scop0.3,Catch,0.571428571428571
4777,eYFP,Scop1,Catch,0.488888888888889
4777,eYFP,Mec1,Catch,0.565217391304348
5710,eYFP,Saline,Tone,0.971153846153846
5710,eYFP,Scop0.3,Tone,0.978260869565217
5710,eYFP,Scop1,Tone,0.378947368421053
5710,eYFP,Mec1,Tone,0.989795918367347
5710,eYFP,Saline,Laser,0.103092783505155
5710,eYFP,Scop0.3,Laser,0.431578947368421
5710,eYFP,Scop1,Laser,0.0747663551401869
5710,eYFP,Mec1,Laser,0.28125
5710,eYFP,Saline,Catch,0.214285714285714
5710,eYFP,Scop0.3,Catch,0.404255319148936
5710,eYFP,Scop1,Catch,0.130434782608696
5710,eYFP,Mec1,Catch,0.292682926829268
5177,eYFP,Saline,Tone,0.989690721649485
5177,eYFP,Scop0.3,Tone,0.793814432989691
5177,eYFP,Scop1,Tone,0.275510204081633
5177,eYFP,Mec1,Tone,0.87378640776699
5177,eYFP,Saline,Laser,0.278350515463918
5177,eYFP,Scop0.3,Laser,0.273684210526316
5177,eYFP,Scop1,Laser,0.0421052631578947
5177,eYFP,Mec1,Laser,0
5177,eYFP,Saline,Catch,0.319148936170213
5177,eYFP,Scop0.3,Catch,0.26
5177,eYFP,Scop1,Catch,0.02
5177,eYFP,Mec1,Catch,0
5237,ChR2,Saline,Tone,0.474747474747475
5237,ChR2,Scop0.3,Tone,0.226415094339623
5237,ChR2,Scop1,Tone,0.224489795918367
5237,ChR2,Mec1,Tone,0.204081632653061
5237,ChR2,Saline,Laser,0.752941176470588
5237,ChR2,Scop0.3,Laser,0.0531914893617021
5237,ChR2,Scop1,Laser,0.20952380952381
5237,ChR2,Mec1,Laser,0.355769230769231
5237,ChR2,Saline,Catch,0.0833333333333333
5237,ChR2,Scop0.3,Catch,0.0869565217391304
5237,ChR2,Scop1,Catch,0.179487179487179
5237,ChR2,Mec1,Catch,0.0714285714285714
5534,ChR2,Saline,Tone,0.587155963302752
5534,ChR2,Scop0.3,Tone,0.444444444444444
5534,ChR2,Scop1,Tone,0.225490196078431
5534,ChR2,Mec1,Tone,0.0681818181818182
5534,ChR2,Saline,Laser,0.666666666666667
5534,ChR2,Scop0.3,Laser,0.319587628865979
5534,ChR2,Scop1,Laser,0.122641509433962
5534,ChR2,Mec1,Laser,0.019047619047619
5534,ChR2,Saline,Catch,0.41304347826087
5534,ChR2,Scop0.3,Catch,0.2
5534,ChR2,Scop1,Catch,0.0444444444444444
5534,ChR2,Mec1,Catch,0
5536,ChR2,Saline,Tone,0.53
5536,ChR2,Scop0.3,Tone,0.783505154639175
5536,ChR2,Scop1,Tone,0.355555555555556
5536,ChR2,Mec1,Tone,0.695238095238095
5536,ChR2,Saline,Laser,0.755102040816326
5536,ChR2,Scop0.3,Laser,0.676767676767677
5536,ChR2,Scop1,Laser,0.145454545454545
5536,ChR2,Mec1,Laser,0.28735632183908
5536,ChR2,Saline,Catch,0.152173913043478
5536,ChR2,Scop0.3,Catch,0.102040816326531
5536,ChR2,Scop1,Catch,0.186046511627907
5536,ChR2,Mec1,Catch,0.1875
5542,ChR2,Saline,Tone,0.433962264150943
5542,ChR2,Scop0.3,Tone,0.739583333333333
5542,ChR2,Scop1,Tone,0.244897959183673
5542,ChR2,Mec1,Tone,0.397959183673469
5542,ChR2,Saline,Laser,0.673684210526316
5542,ChR2,Scop0.3,Laser,0.519230769230769
5542,ChR2,Scop1,Laser,0.144144144144144
5542,ChR2,Mec1,Laser,0.222222222222222
5542,ChR2,Saline,Catch,0.0892857142857143
5542,ChR2,Scop0.3,Catch,0.3
5542,ChR2,Scop1,Catch,0.116279069767442
5542,ChR2,Mec1,Catch,0.361702127659574
4336,ChR2,Saline,Tone,0.222222222222222
4336,ChR2,Scop0.3,Tone,0.194444444444444
4336,ChR2,Scop1,Tone,0.469026548672566
4336,ChR2,Mec1,Tone,0.215686274509804
4336,ChR2,Saline,Laser,0.182795698924731
4336,ChR2,Scop0.3,Laser,0.319148936170213
4336,ChR2,Scop1,Laser,0.460674157303371
4336,ChR2,Mec1,Laser,0.33
4336,ChR2,Saline,Catch,0.236363636363636
4336,ChR2,Scop0.3,Catch,0.245283018867925
4336,ChR2,Scop1,Catch,0.531914893617021
4336,ChR2,Mec1,Catch,0.224489795918367
4337,eYFP,Saline,Tone,0.83495145631068
4337,eYFP,Scop0.3,Tone,0.733333333333333
4337,eYFP,Scop1,Tone,0.276595744680851
4337,eYFP,Mec1,Tone,0.919191919191919
4337,eYFP,Saline,Laser,0.163265306122449
4337,eYFP,Scop0.3,Laser,0.24468085106383
4337,eYFP,Scop1,Laser,0.257731958762887
4337,eYFP,Mec1,Laser,0.236559139784946
4337,eYFP,Saline,Catch,0.148148148148148
4337,eYFP,Scop0.3,Catch,0.391304347826087
4337,eYFP,Scop1,Catch,0.319148936170213
4337,eYFP,Mec1,Catch,0.25
4650,ChR2,Saline,Tone,0.505376344086022
4650,ChR2,Scop0.3,Tone,0.384615384615385
4650,ChR2,Scop1,Tone,0.359223300970874
4650,ChR2,Mec1,Tone,0.702127659574468
4650,ChR2,Saline,Laser,0.92156862745098
