AnimalID,Virus,Session,Event,Pupil
5710,eYFP,Reinforced,Opto_on,0.0645392931513383
5710,eYFP,Unreinforced,ReinfGoNoopto,3.2488077430766
5710,eYFP,Reinforced,ReinfGoNoopto,7.86593516066257
5177,eYFP,Unreinforced,Opto_on,1.26966102353035
5177,eYFP,Reinforced,Opto_on,0.42667158820851
5177,eYFP,Unreinforced,ReinfGoNoopto,3.09998108791333
5177,eYFP,Reinforced,ReinfGoNoopto,0.3524290031693
5235,ChR2,Unreinforced,Opto_on,0.238310898490115
5235,ChR2,Reinforced,Opto_on,0.833679138339996
5235,ChR2,Unreinforced,ReinfGoNoopto,3.32455760528267
5235,ChR2,Reinforced,ReinfGoNoopto,2.80084741804295
5237,ChR2,Unreinforced,Opto_on,0.0478165393732238
5237,ChR2,Reinforced,Opto_on,-0.612116187985848
5237,ChR2,Unreinforced,ReinfGoNoopto,1.10896985460756
5237,ChR2,Reinforced,ReinfGoNoopto,0.131942373198872
5534,ChR2,Unreinforced,Opto_on,3.75058893384292
5534,ChR2,Reinforced,Opto_on,1.71715371221814
5534,ChR2,Unreinforced,ReinfGoNoopto,0.658663316331121
5534,ChR2,Reinforced,ReinfGoNoopto,1.90511906581767
5536,ChR2,Unreinforced,Opto_on,0.41184442991079
5536,ChR2,Reinforced,Opto_on,4.56686997326511
5536,ChR2,Unreinforced,ReinfGoNoopto,2.26211419124749
5536,ChR2,Reinforced,ReinfGoNoopto,3.73039245371584
5542,ChR2,Unreinforced,Opto_on,2.5273467127621
5542,ChR2,Reinforced,Opto_on,2.81054789949398
5542,ChR2,Unreinforced,ReinfGoNoopto,5.05310851041042
5542,ChR2,Reinforced,ReinfGoNoopto,3.61703449485071
4336,ChR2,Unreinforced,Opto_on,2.26036532501262
4336,ChR2,Reinforced,Opto_on,0.672897243168235
4336,ChR2,Unreinforced,ReinfGoNoopto,2.44700272498897
4336,ChR2,Reinforced,ReinfGoNoopto,1.17214461174081
4337,eYFP,Unreinforced,Opto_on,-0.472864028920343
4337,eYFP,Reinforced,Opto_on,-2.13483778500112
